time;position;velocity;reward;puff;CTRL;Cloud;Switch_ID;teleport;port_A;port_B;port_C;Trigger;optoport;Systime;Keyboard;
0;1200;0;0;0;0;0;8;1;0;0;0;0;0;2024-03-04 13:05:52.3812357;NONE;
0,01;-964,75;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:52.4696979;NONE;
0,02;-964,75;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:52.4696979;NONE;
0,03;-964,75;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:52.4850659;NONE;
0,04;-964,75;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:52.4975547;NONE;
0,05;-964,75;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:52.5046181;NONE;
0,06;-964,75;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:52.5115728;NONE;
0,07;-964,75;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:52.5249190;NONE;
0,08;-964,75;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:52.5317289;NONE;
0,09;-964,75;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:52.5390052;NONE;
0,09999999;-964,75;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:52.5532475;NONE;
0,11;-964,75;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:52.5602621;NONE;
0,12;-964,75;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:52.5733804;NONE;
0,13;-964,75;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:52.5804040;NONE;
0,14;-964,75;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:52.5945189;NONE;
0,15;-964,75;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:52.6012901;NONE;
0,16;-964,75;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:52.6155884;NONE;
0,17;-964,75;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:52.6226700;NONE;
0,18;-964,75;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:52.6292801;NONE;
0,19;-964,75;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:52.6430874;NONE;
0,2;-964,75;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:52.6501578;NONE;
0,21;-964,75;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:52.6636629;NONE;
0,22;-964,75;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:52.6707905;NONE;
0,23;-964,75;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:52.6844939;NONE;
0,24;-964,75;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:52.6915787;NONE;
0,25;-964,75;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:52.7055298;NONE;
0,26;-964,75;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:52.7126954;NONE;
0,27;-964,75;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:52.7193327;NONE;
0,28;-964,75;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:52.7337237;NONE;
0,29;-964,75;1;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:52.7402058;NONE;
0,3;-964,63;5;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:52.7545634;NONE;
0,31;-964,03;9;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:52.7614062;NONE;
0,32;-962,95;21;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:52.7754465;NONE;
0,33;-960,43;52;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:52.7819148;NONE;
0,34;-954,19;63;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:52.7888696;NONE;
0,35;-946,63;77;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:52.8033374;NONE;
0,36;-937,39;86;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:52.8100019;NONE;
0,37;-927,07;104;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:52.8240548;NONE;
0,38;-914,59;108;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:52.8301669;NONE;
0,39;-901,63;50;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:52.8447178;NONE;
0,4;-895,63;93;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:52.8518052;NONE;
0,41;-884,47;69;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:52.8659864;NONE;
0,42;-876,19;23;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:52.8727662;NONE;
0,43;-873,43;38;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:52.8794657;NONE;
0,44;-868,87;15;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:52.8928119;NONE;
0,45;-867,07;10;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:52.9003758;NONE;
